	drug_id	drug_name	drug_status
2513	DB03041	UDP-alpha-D-glucuronic acid	experimental
2514	DB03042	5-Phosphoarabinonic Acid	experimental
2515	DB03044	1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea	experimental, investigational
2516	DB03045	Pantothenyl-Aminoethanol-Acetate Pivalic Acid	experimental
2517	DB03046	7-Methoxy-8-[1-(Methylsulfonyl)-1h-Pyrazol-4-Yl]Naphthalene-2-Carboximidamide	experimental
2518	DB03048	6-Carboxymethyluracil	experimental
2519	DB03049	S-Selanyl Cysteine	experimental
2520	DB03051	Tetrahydrofuran-2-Carboxylic Acid	experimental
2521	DB03052	Dazoxiben	experimental
2522	DB03053	1-Aminocyclopropylphosphonate	experimental
2523	DB03056	4-Piperidino-Piperidine	experimental
2524	DB03057	Malonaldehyde	experimental
2525	DB03058	2-Aminobenzyl alcohol	experimental
2526	DB03059	Acetoacetyl-CoA	experimental
2527	DB03060	Sri-9662	experimental
2528	DB03061	(R)-N-(1-Methyl-Hexyl)-Formamide	experimental
2529	DB03062	(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone	experimental
2530	DB03063	N-(1-Benzyl-3-{[3-(1,3-Dioxo-1,3-Dihydro-Isoindol-2-Yl)-Propionyl]-[2-(Hexahydro-Benzo[1,3]Dioxol-5-Yl)-Ethyl]-Amino}-2-Hydroxy-Propyl)-4-Benzyloxy-3,5-Dimethoxy-Benzamide	experimental
2531	DB03064	3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline	experimental
2532	DB03065	7-Nitroindazole-2-Carboxamidine	experimental
2533	DB03066	D-Lactic acid	experimental
2534	DB03067	4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid	experimental
2535	DB03068	Zebularine	experimental
2536	DB03069	Cytidine-5'-Diphospho-Beta-D-Xylose	experimental
2537	DB03070	Selenazole-4-Carboxyamide-Adenine Dinucleotide	experimental
2538	DB03072	2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone	experimental
2539	DB03073	3-Methoxybenzamide	experimental
2540	DB03074	7-Deaza-7-Cyano-Guanine	experimental
2541	DB03075	(Diphosphono)Aminophosphonic Acid	experimental
2542	DB03076	AHA047	experimental
2543	DB03077	3-Amino-4-{3-[2-(2-Propoxy-Ethoxy)-Ethoxy]-Propylamino}-Cyclobut-3-Ene-1,2-Dione	experimental
2544	DB03078	PASBN	experimental
2545	DB03079	Alpha-Ribazole-5'-Phosphate Derivative	experimental
2546	DB03081	Crc200 (Chiron-Behring)	experimental
2547	DB03082	6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide	experimental
2548	DB03083	IC261	experimental
2549	DB03084	Cyclopropyl-{4-[5-(3,4-Dichlorophenyl)-2-[(1-Methyl)-Piperidin]-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine	experimental
2550	DB03085	Glycolic acid	approved, investigational
2551	DB03086	N'-(2s,3r)-3-Amino-4-Cyclohexyl-2-Hydroxy-Butano-N-(4-Methylphenyl)Hydrazide	experimental
2552	DB03087	2-(Sec-Butyl)Thiazole	experimental
2553	DB03088	Pidolic Acid	approved, investigational
2554	DB03090	Ethylaminobenzylmethylcarbonyl Group	experimental
2555	DB03091	4-Amido-4-Carbamoyl-Butyric Acid	experimental
2556	DB03092	5-Hydroxymethyl-Chonduritol	experimental
2557	DB03093	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine	experimental
2558	DB03095	Tetramethylammonium Ion	experimental
2559	DB03096	N-Aminoethylmorpholine	experimental
2560	DB03097	Pmp-Hydroxyisoxazole, Pyridoxamine-5-Phosphate-Hydroxyisoxazole	experimental
2561	DB03098	[Methylseleno]Acetate	experimental
2562	DB03100	6-Nitroindazole	experimental
2563	DB03101	Ribose-1-Phosphate	experimental
2564	DB03102	2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid	experimental
2565	DB03103	Thymidine-5'- Diphosphate	experimental
2566	DB03104	RU82129	experimental
2567	DB03106	scyllo-inositol	investigational
2568	DB03107	Beta-Alanine	experimental
2569	DB03108	4-phospho-D-erythronic acid	experimental
2570	DB03109	N-Acetyl-D-Allosamine	experimental
2571	DB03110	2-Chlorophenol	experimental
2572	DB03111	Glucosamine 1-Phosphate	experimental
2573	DB03112	6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid	experimental
2574	DB03113	3-Fluoro-2-(Phosphonooxy)Propanoic Acid	experimental
2575	DB03114	PAS219	experimental
2576	DB03115	5-Bromo-N-(2,3-Dihydroxypropoxy)-3,4-Difluoro-2-[(2-Fluoro-4-Iodophenyl)Amino]Benzamide	experimental
2577	DB03116	5-(1-Carboxy-1-Phosphonooxy-Ethoxyl)-Shikimate-3-Phosphate	experimental
2578	DB03117	2-Carboxypropyl-Coenzyme A	experimental
2579	DB03118	1-(5-Chloroindol-3-Yl)-3-Hydroxy-3-(2h-Tetrazol-5-Yl)-Propenone	experimental
2580	DB03120	Para-Toluene Sulfonate	experimental
2581	DB03121	(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid	experimental
2582	DB03124	5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid	experimental
2583	DB03125	2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium	experimental
2584	DB03126	Mant-Adp	experimental
2585	DB03127	Benzamidine	experimental
2586	DB03128	Acetylcholine	approved, investigational
2587	DB03129	[3-(1,3,2-Dioxaborolan-2-Yloxy)Propyl]Guanidine	experimental
2588	DB03130	S-P-Nitrobenzyloxycarbonylglutathione	experimental
2589	DB03132	3-(2-Benzothiazolylthio)-1-Propanesulfonic Acid	experimental
2590	DB03133	2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole	experimental
2591	DB03134	2-Aminopimelic Acid	experimental
2592	DB03135	[2(Formyl-Hydroxy-Amino)-Ethyl]-Phosphonic Acid	experimental
2593	DB03136	4-Iodobenzo[B]Thiophene-2-Carboxamidine	experimental
2594	DB03137	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine	experimental
2595	DB03138	Perchlorate	experimental
2596	DB03139	6-[5-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Pentanoylamino]-Hexanoic Acid	experimental
2597	DB03140	4-Carboxyphenylboronic Acid	experimental
2598	DB03141	3-{[(5R,6R)-5-Benzyl-6-hydroxy-2,4-bis(4-hydroxybenzyl)-3-oxo-1,2,4-triazepan-1-yl]sulfonyl}benzonitril	experimental
2599	DB03142	Alpha-L-Arabinose	experimental
2600	DB03143	Nonan-1-Ol	experimental
2601	DB03144	N-Omega-Hydroxy-L-Arginine	experimental
2602	DB03145	4-Methyl-5-Hydroxyethylthiazole Phosphate	experimental
2603	DB03146	2-deazo-6-thiophosphate guanosine-5'-monophosphate	experimental
2604	DB03147	Flavin adenine dinucleotide	approved
2605	DB03148	Phosphomethylphosphonic Acid Adenosyl Ester	experimental
2606	DB03150	2',3'-Dideoxythymidine-5'-Monophosphate	experimental
2607	DB03151	(Mu-4-Sulfido)-Tetra-Nuclear Copper Ion	experimental
2608	DB03152	B-2-Octylglucoside	experimental
2609	DB03153	3h-Pyrazolo[4,3-D]Pyrimidin-7-Ol	experimental
2610	DB03154	{[7-(Difluoro-Phosphono-Methyl)-Naphthalen-2-Yl]-Difluoro-Methyl}-Phosphonic Acid	experimental
2611	DB03155	1-(2-Deoxy-2-Fluoro-3-O-Phosphono-Beta-L-Ribofuranosyl)Pyrimidine-2,4(1h,3h)-Dione	experimental
2612	DB03156	beta-D-glucuronic acid	experimental
2613	DB03157	N,O-Didansyl-L-Tyrosine	experimental
2614	DB03158	D-Myo-Inositol-1,4-Bisphosphate	experimental
2615	DB03159	CRA_8696	experimental
2616	DB03160	N-Pyridoxyl-7-Keto-8-Aminopelargonic Acid-5'-Monophosphate	experimental
2617	DB03161	Thymidine-5'-Diphospho-Beta-D-Xylose	experimental
2618	DB03162	4-Hydroxy-1,2,5-Thiadiazole-3-Carboxylic Acid	experimental
2619	DB03163	2-oxopropyl-CoM	experimental
2620	DB03164	6-Amino-1-Methylpurine	experimental
2621	DB03165	2-Dimethylamino-Ethyl-Diphosphate	experimental
2622	DB03169	(S)-Hmg-Coa	experimental
2623	DB03170	Dephospho Coenzyme A	experimental
2624	DB03171	Indole-3-Propanol Phosphate	experimental
2625	DB03172	Tubercidin	experimental
2626	DB03173	CRA_10433	experimental
2627	DB03174	Phosphonoacetaldehyde	experimental
2628	DB03175	Propyl alcohol	approved, experimental
2629	DB03176	KB-141	experimental
2630	DB03177	5-methylbenzimidazole	experimental
2631	DB03178	Guanosine-2',3'-Cyclophosphorothioate	experimental
2632	DB03179	Sinapoyl Coenzyme A	experimental
2633	DB03180	4,5-Dimethyl-1,2-Phenylenediamine	experimental
2634	DB03181	2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione	experimental
2635	DB03182	Alpha-Fluoro-Carboxymethyldethia Coenzyme a Complex	experimental
2636	DB03183	1-(4-Aminophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester	experimental
2637	DB03185	1-Beta-Ribofuranosyl-1,3-Diazepinone	experimental
2638	DB03186	U-Pi-a-Pi	experimental
2639	DB03187	6-(Hydroxyethyldithio)-8-(Aminomethylthio)Octanoic Acid	experimental
2640	DB03189	Cu-Cyclam	experimental
2641	DB03190	N-Octanoyl-B-D-Fructofuranosyl-a-D-Glucopyranoside,Sucrose Monocaproylate	experimental
2642	DB03191	3-Oxiran-2ylalanine	experimental
2643	DB03192	3r-Hydroxydecanoyl-Coa	experimental
2644	DB03193	Stearic acid	approved, experimental
2645	DB03194	beta-L-methyl-fucose	experimental
2646	DB03195	Phosphoric Acid Mono-[3-Fluoro-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahyro-Furan-2-Ylmethyl] Ester	experimental
2647	DB03196	4-Nitrophenyl-Ara	experimental
2648	DB03197	6-Hydroxymethylpterin	experimental
2649	DB03198	Thio-Maltohexaose	experimental
2650	DB03199	4-Methoxy-E-Rhodomycin T	experimental
2651	DB03200	7-Alpha-D-Ribofuranosyl-Purine-5'-Phosphate	experimental
2652	DB03201	D-Cysteine	experimental
2653	DB03202	2-[5-Methanesulfonylamino-2-(4-Aminophenyl)-6-Oxo-1,6-Dihydro-1-Pyrimidinyl]-N-(3,3,3-Trifluoro-1-Isopropyl-2-Oxopropyl)Acetamide	experimental
2654	DB03203	Sphingosine	experimental
2655	DB03205	Pyrroloquinoline Quinone	experimental
2656	DB03206	Duvoglustat	investigational
2657	DB03207	2-(Biphenyl-4-Sulfonyl)-1,2,3,4-Tetrahydro-Isoquinoline-3-Carboxylic Acid	experimental
2658	DB03210	4-Aminohydrocinnamic Acid	experimental
2659	DB03211	(3-Formyl-but-3-Enyl)-Phosphonic Acid	experimental
2660	DB03212	4-Deoxyglucarate	experimental
2661	DB03213	Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone	experimental
2662	DB03214	Vinylglycine	experimental
2663	DB03215	(2s,5s)-5-Carboxymethylproline	experimental
2664	DB03216	(1'R,2'S)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-yl)Adenine	experimental
2665	DB03217	DPI59	experimental
2666	DB03218	N-Acetyl-N'-Beta-D-Glucopyranosyl Urea	experimental
2667	DB03219	11-Deoxy-Beta-Rhodomycin	experimental
2668	DB03220	FR233623	experimental
2669	DB03221	AL7099A	experimental
2670	DB03222	dATP	experimental
2671	DB03223	Diphthamide	experimental
2672	DB03224	2-Formyl-Protoporphryn Ix	experimental
2673	DB03225	D-Tryptophan	experimental
2674	DB03226	Trifluoroethanol	experimental
2675	DB03227	Nicotinamide Mononucleotide	experimental
2676	DB03228	5-[Bis-2(Chloro-Ethyl)-Amino]-2,4-Dintro-Benzamide	experimental
2677	DB03229	2-Oxo-4-Methylpentanoic Acid	experimental
2678	DB03230	Adenosine-5'-Propylphosphate	experimental
2679	DB03231	3-(5-Amino-7-oxo-3,7-dihydro-2H-[1,2,3]triazolo[4,5-d]pyrimidin-2-yl)-N-(2-{[2-(hydroxymethyl)phenyl]sulfanyl}benzyl)benzamide	experimental
2680	DB03232	2-[(2e,6e,10e,14e,18e,22e,26e)-3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-Octaenyl]Phenol	experimental
2681	DB03233	Phosphoric Acid Mono-[3-Amino-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahydro-Furan-2-Ylmethyl] Ester	experimental
2682	DB03234	(4'-{[Allyl(Methyl)Amino]Methyl}-1,1'-Biphenyl-4-Yl)(4-Bromophenyl)Methanone	experimental
2683	DB03235	N-{3-[4-(3-aminopropyl)piperazin-1-yl]propyl}-3-(alpha-D-galactopyranosyloxy)-5-nitrobenzamide	experimental
2684	DB03237	2,3-Dihydroxy-5-Oxo-Hexanedioate	experimental
2685	DB03238	3,5-Difluoroaniline	experimental
2686	DB03240	(S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid	experimental
2687	DB03241	1-Amino-1-Carbonyl Pentane	experimental
2688	DB03242	P-Aminophenyl-Alpha-D-Galactopyranoside	experimental
2689	DB03243	4-Fluorobenzylamine	experimental
2690	DB03245	S-4-Nitrobutyryl-Coa	experimental
2691	DB03246	Beta-L-Arabinose	experimental
2692	DB03247	Flavin mononucleotide	approved, investigational
2693	DB03248	2-(Phosphonooxy)Butanoic Acid	experimental
2694	DB03250	2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole	experimental
2695	DB03251	RWJ-51084	experimental
2696	DB03252	D-Lysine	experimental
2697	DB03253	(2s)-Pyrrolidin-2-Ylmethylamine	experimental
2698	DB03254	4-Phenyl-1h-Imidazole	experimental
2699	DB03255	Phenol	approved, experimental
2700	DB03256	(6R)-Folinic acid	experimental
2701	DB03257	5-[1-(Acetylamino)-3-Methylbutyl]-2,5-Anhydro-3,4-Dideoxy-4-(Methoxycarbonyl)Pentonic Acid	experimental
2702	DB03258	2'-Deoxycytidine 5'-triphosphate	experimental
2703	DB03259	2',6'-Dichloro-Biphenyl-2,6-Diol	experimental
2704	DB03260	1,6-Diaminohexane	experimental
2705	DB03262	Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]	experimental
2706	DB03264	Dodecyl-Coa	experimental
2707	DB03267	1-Allyl-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine	experimental
2708	DB03268	RU82197	experimental
2709	DB03270	2,6-Difluorobenzenesulfonamide	experimental
2710	DB03273	3'-Oxo-Adenosine	experimental
2711	DB03274	2'-5'dideoxyuridine	experimental
2712	DB03276	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid	experimental
2713	DB03277	alpha-maltotriose	experimental
2714	DB03278	D-Treitol	experimental
2715	DB03279	Dodecyl-Alpha-D-Maltoside	experimental
2716	DB03280	P1-(5'-Adenosyl)P5-(5'-Thymidyl)Pentaphosphate	experimental
2717	DB03283	beta-L-fucose	experimental
2718	DB03284	2,6-Anhydro-3-Deoxy-D-Erythro-Hex-2-Enonic Acid	experimental
2719	DB03286	C-(1-Azido-Alpha-D-Glucopyranosyl) Formamide	experimental
2720	DB03288	5-Chloro-1h-Indole-2-Carboxylic Acid{[Cyclopentyl-(2-Hydroxy-Ethyl)-Carbamoyl]-Methyl}-Amide	experimental
2721	DB03289	Thiarsa Dihydroxy Cysteine	experimental
2722	DB03290	L-naphthyl-1-acetamido boronic acid alanine	experimental
2723	DB03292	3-Phosphono-D-alanine	experimental
2724	DB03294	1-Methyl-3-Oxo-1,3-Dihydro-Benzo[C]Isothiazole-5-Sulfonic Acid Amide	experimental
2725	DB03296	3'-beta-Sialyl-beta-lactose	experimental
2726	DB03297	Benzylsulfinic Acid	experimental
2727	DB03298	Phenylphosphate	experimental
2728	DB03299	N-Succinyl Phenylglycine	experimental
2729	DB03300	Pterin Cytosine Dinucleotide	experimental
2730	DB03301	2-Allyl-6-Methyl-Phenol	experimental
2731	DB03304	7-Deaza-7-Aminomethyl-Guanine	experimental
2732	DB03305	N5-Iminoethyl-L-Ornithine	experimental
2733	DB03306	RU78300	experimental
2734	DB03307	4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide	experimental
2735	DB03308	L-Leucyl-Hydroxylamine	experimental
2736	DB03309	N-cyclohexyltaurine	experimental
2737	DB03310	Glutathione disulfide	approved, experimental, investigational
2738	DB03311	3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid [4-(Thiazol-2-Ylsulfamoyl)-Phenyl]-Amide	experimental
2739	DB03312	Brivudine	approved, investigational
2740	DB03313	Cephalosporin C	experimental
2741	DB03314	5-fluorotryptophan	experimental
2742	DB03315	Guanosine 3'-monophosphate	experimental
2743	DB03316	1,4-Diethylene Dioxide	experimental
2744	DB03317	Heme C	experimental
2745	DB03319	(2S)-2-Ammonio-3-[5-(2-methyl-2-propanyl)-3-oxido-1,2-oxazol-4-yl]propanoate	experimental
2746	DB03320	3-Amino-Alanine	experimental
2747	DB03321	4-Amino-2-Deoxy-2,3-Dehydro-N-Neuraminic Acid	experimental
2748	DB03323	Maltose	experimental, investigational
2749	DB03325	Tyrosyladenylate	experimental
2750	DB03326	deoxycytidylyl-3',5'-guanosine	experimental
2751	DB03327	{1-[(3-Hydroxy-Methyl-5-Phosphonooxy-Methyl-Pyridin-4-Ylmethyl)-Amino]-Ethyl}-Phosphonic Acid	experimental
2752	DB03328	dioxothiomolybdenum(VI) ion	experimental
2753	DB03329	2-Pyridinethiol	experimental
2754	DB03330	S-(N-Hydroxy-N-Iodophenylcarbamoyl)Glutathione	experimental
2755	DB03331	N-Naphthalen-1-Ylmethyl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine	experimental
2756	DB03332	5,6-Cyclic-Tetrahydropteridine	experimental
2757	DB03333	(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester	experimental
2758	DB03335	1-Bromopropane-2-Ol	experimental
2759	DB03336	BIA	experimental
2760	DB03337	1-(2-Amidinophenyl)-3-(Phenoxyphenyl)Urea	experimental
2761	DB03338	Heptyl-Beta-D-Glucopyranoside	experimental
2762	DB03340	3-[(1-Amino-2-Carboxy-Ethyl)-Hydroxy-Phosphinoyl]-2-Methyl-Propionic Acid	experimental
2763	DB03341	Coa-S-Acetyl 5-Bromotryptamine	experimental
2764	DB03342	4-(Acetylamino)-3-Guanidinobenzoic Acid	experimental
2765	DB03343	Malate Like Intermediate	experimental
2766	DB03344	Inositol-(1,3,4,5,6)-Pentakisphosphate	experimental
2767	DB03345	Mercaptoethanol	experimental
2768	DB03346	3,5,3',5'-Tetrachloro-Biphenyl-4,4'-Diol	experimental
2769	DB03347	Triethyl Phosphate	experimental
2770	DB03348	Huperzine B	investigational
2771	DB03349	8-Bromo-Adenosine-5'-Monophosphate	experimental
2772	DB03350	Cobalt Hexammine Ion	experimental
2773	DB03351	Sri-9439	experimental
2774	DB03352	S-Arsonocysteine	experimental
2775	DB03353	2-Iminobiotin	experimental, investigational
2776	DB03354	2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole	experimental
2777	DB03355	5'-O-(N-(L-Threonyl)-Sulfamoyl)Adenosine	experimental
2778	DB03357	(S)-Mandelic acid	experimental
2779	DB03358	7n-Methyl-8-Hydroguanosine-5'-Triphosphate	experimental
2780	DB03359	M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene	experimental
2781	DB03360	N-Acetylproline	experimental
2782	DB03361	2-{(9as)-9a-[(1s)-1-Hydroxyethyl]-2,7-Dimethyl-9a,10-Dihydro-5h-Pyrimido[4,5-D][1,3]Thiazolo[3,2-a]Pyrimidin-8-Yl}Ethyl Trihydrogen Diphosphate	experimental
2783	DB03363	3-Acetylpyridine Adenine Dinucleotide	experimental
2784	DB03364	N-Carbamyl-D-Methionine	experimental
2785	DB03365	4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline	experimental
2786	DB03366	Imidazole	experimental, investigational
2787	DB03367	PF-00356231	experimental
2788	DB03368	5-Methyl-5-(4-Phenoxy-Phenyl)-Pyrimidine-2,4,6-Trione	experimental
2789	DB03369	9-Aminophenanthrene	experimental
2790	DB03370	FR239087	experimental
2791	DB03371	Modified Ribosylated Glutamyl Ester	experimental
2792	DB03372	3-Mercapto-1-(1,3,4,9-Tetrahydro-B-Carbolin-2-Yl)-Propan-1-One	experimental
2793	DB03373	ZK-806711	experimental
2794	DB03374	3,5-Diiodotyrosine	experimental
2795	DB03376	'5'-O-(N-(L-Alanyl)-Sulfamoyl)Adenosine	experimental
2796	DB03379	2-Carboxyethylphosphonic Acid	experimental
2797	DB03380	L-tyrosinamide	experimental
2798	DB03381	Hexadecanal	experimental
2799	DB03382	S-oxy-L-cysteine	experimental
2800	DB03383	5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide	experimental
2801	DB03384	Fica	experimental
2802	DB03385	4-Methylimidazole	experimental
2803	DB03388	3-[(2,4-Dichlorobenzoyl)(Isopropyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid	experimental
2804	DB03389	alpha-D-Xylopyranose	experimental
2805	DB03390	N-Propyl-Tartramic Acid	experimental
2806	DB03392	(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester	experimental
2807	DB03393	(3s,6s,9r,10r,11s,12s,13e,15e,18s,21s)-18-{(1e,3e,7s,8s)-9-[(2s,3r,4s,5s,6r,9s,11s)-9-Ethyl-4-Hydroxy-3,5,11-Trimethyl-8-Oxo-1-Oxa-7-Azaspiro[5.5]Undec-2-Yl]-8-Hydroxy-1,7-Dimethylnona-1,3-Dienyl}-10,12-Dihydroxy-3-(3-Hydroxybenzyl)-6-Isopropyl-11-Methyl-	experimental
2808	DB03394	Heptaethylene glycol	experimental
2809	DB03395	Enalkiren	experimental
2810	DB03396	(E)-(2r,3r,4s,5r)-3,4,5-Trihydroxy-2-Methoxy-8,8-Dimethyl-Non-6-Enoic Acid ((3s,6r)-6-Hydroxy-2-Oxo-Azepan-3-Yl)-Amide	experimental
2811	DB03397	Uridine-Diphosphate-N-Acetylglucosamine	experimental
2812	DB03399	Ethyl Isocyanide	experimental
2813	DB03400	3-(P-Tolyl)Propionic Acid	experimental
2814	DB03401	1D-myo-inositol 1,4,5-trisphosphate	experimental
2815	DB03403	Cytidine-5'-Monophosphate	experimental
2816	DB03405	N2-[(Benzyloxy)carbonyl]-N-[(3R)-1-{N-[(benzyloxy)carbonyl]-L-leucyl}-4-oxo-3-pyrrolidinyl]-L-leucinamide	experimental
2817	DB03408	gamma-Glutamylcysteine	experimental
2818	DB03410	4-hydroxycoumarin	experimental
2819	DB03411	2-Hydroxymethyl-Pyrrolidine-3,4-Diol	experimental
2820	DB03412	6-hydroxy-L-norleucine	experimental
2821	DB03413	Deoxyuridine-5'-Diphosphate	experimental
2822	DB03414	5-Thio-a/B-D-Mannopyranosylamine	experimental
2823	DB03415	3-Thiaoctanoyl-Coenzyme A	experimental
2824	DB03416	Thiamine(1+) monophosphate	experimental
2825	DB03417	1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid	experimental
2826	DB03419	Uracil	experimental, investigational
2827	DB03420	2,4-Deoxy-4-Guanidino-5-N-Acetyl-Neuraminic Acid	experimental
2828	DB03421	2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione	experimental
2829	DB03423	S-Adenosyl-L-Homoselenocysteine	experimental
2830	DB03424	Ubenimex	experimental, investigational
2831	DB03425	2s,4r-4-Methylglutamate	experimental
2832	DB03428	SU9516	experimental
2833	DB03429	Tetrastearoyl cardiolipin	experimental
2834	DB03430	(2s)-Hydroxy(4-Hydroxyphenyl)Ethanenitrile	experimental
2835	DB03433	{3-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-2-Methyl-Propyl}-Phosphonic Acid	experimental
2836	DB03434	3[N-Morpholino]Propane Sulfonic Acid	experimental
2837	DB03435	Uridine-5'-Diphosphate	experimental
2838	DB03436	Gallichrome	experimental
2839	DB03437	2-{1-[2-(2-Amino-Thiazol-4-Yl)-2-Methoxyimino-Acetylamino]-2-Oxo-Ethyl}-5,5-Dimethyl-Thiazolidine-4-Carboxylic Acid	experimental
2840	DB03439	4,6-dideoxy-4-amino-alpha-D-glucose	experimental
2841	DB03440	N-Hexadecanoylglycine	experimental
2842	DB03441	2-Benzyl-3-Iodopropanoic Acid	experimental
2843	DB03442	2-[5-Hydroxy-3-Methyl-1-(2-Methyl-4-Sulfo-Phenyl)-1h-Pyrazol-4-Ylazo]-4-Sulfo-Benzoic Acid	experimental
2844	DB03443	Bis(5-Amidino-Benzimidazolyl)Methanone Zinc	experimental
2845	DB03444	(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime	experimental
2846	DB03445	(3S)-3-(dioxidosulfanyl)-N-[(1E)-3-oxoprop-1-en-1-yl]-4-(1H-1,2,3-triazol-1-yl)-D-valine	experimental
2847	DB03446	N-Benzyl-3-(alpha-D-galactopyranosyloxy)benzamide	experimental
2848	DB03447	Uridylyl-2'-5'-Phospho-Adenosine	experimental
2849	DB03448	2'-Deoxyuridine 3'-Monophosphate	experimental
2850	DB03449	N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine	experimental
2851	DB03450	Cephalothin Group	experimental
2852	DB03451	1-alpha, 25-dihydroxyl-20-epi-22-oxa-24, 26 ,27-trihomovitamin D3	experimental
2853	DB03452	3-Trimethylsilylsuccinic Acid	experimental
2854	DB03453	(R)—N[2-[1-(aminoiminomethyl)-3-piperidinyl]-1-oxoethyl]-4-(phenylethynyl)-l-phenylalanine methylester	experimental
2855	DB03454	3-methyl-benzene-1,2-diol	experimental
2856	DB03455	(1H-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid	experimental
2857	DB03456	N2-[(benzyloxy)carbonyl]-n1-[(3S)-1-cyanopyrrolidin-3-yl]-l-leucinamide	experimental
2858	DB03459	Sparfosic acid	experimental
2859	DB03461	2'-Monophosphoadenosine 5'-Diphosphoribose	experimental
2860	DB03462	Thymine	experimental
2861	DB03464	Formycin-5'-Monophosphate	experimental
